date,product_id,category,brand,listed_price,cost_price,discount_pct,final_price,units_sold,inventory_level,rating,competitor_price,revenue,profit
2023-01-14,P020,Footwear,H&M,4723.88,3459.06,5,4487.69,31,871,4.7,4411.78,139118.39,31887.53
2023-01-15,P001,Footwear,Adidas,3531.07,2472.36,5,3354.52,24,804,3.4,3404.72,80508.48,21171.84
2023-01-15,P002,Kids,H&M,3324.42,2367.18,10,2991.98,33,649,4.3,3063.62,98735.34,20618.4
2023-01-15,P003,Accessories,Adidas,1923.26,1071.48,20,1538.61,33,811,4.1,1456.01,50774.13,15415.29
2023-01-15,P013,Women,Levis,3584.99,2534.97,15,3047.24,16,392,3.7,3236.44,48755.84,8196.32
2023-01-15,P016,Kids,Puma,3769.71,2536.74,30,2638.8,19,971,3.5,2506.39,50137.2,1939.14
2023-01-15,P016,Kids,Puma,4528.24,2959.95,10,4075.42,28,364,4.0,3871.49,114111.76,31233.16
2023-01-15,P017,Women,H&M,3600.83,2178.37,15,3060.71,17,314,3.6,2794.68,52032.07,14999.78
2023-01-15,P025,Men,Nike,1989.26,1145.67,40,1193.56,92,402,4.5,1112.98,109807.52,4405.88
2023-01-15,P026,Women,HRX,3890.13,2724.68,10,3501.12,18,296,3.3,3375.02,63020.16,13975.92
2023-01-15,P026,Women,HRX,1445.12,815.05,0,1445.12,63,918,4.9,1429.11,91042.56,39694.41
2023-01-15,P030,Footwear,Zara,550.03,307.59,30,385.02,312,791,3.5,419.92,120126.24,24158.16
2023-01-16,P003,Accessories,Adidas,2695.42,1982.44,30,1886.79,12,979,4.2,1958.2,22641.48,-1147.8
2023-01-16,P006,Accessories,Nike,1296.78,813.05,40,778.07,96,119,4.3,710.54,74694.72,-3358.08
2023-01-16,P007,Kids,Levis,4969.46,3445.37,0,4969.46,34,891,3.3,5423.98,168961.64,51819.06
2023-01-16,P016,Kids,Puma,762.53,441.13,0,762.53,132,134,4.3,755.66,100653.96,42424.8
2023-01-16,P019,Kids,Nike,2419.68,1755.07,5,2298.7,54,838,4.8,2078.61,124129.8,29356.02
2023-01-16,P019,Kids,Nike,1900.34,1421.38,5,1805.32,66,687,4.4,1794.08,119151.12,25340.04
2023-01-17,P001,Footwear,Adidas,698.32,488.79,5,663.4,231,750,5.0,601.24,153245.4,40334.91
2023-01-17,P019,Kids,Nike,4576.3,2761.04,20,3661.04,15,508,4.9,3674.98,54915.6,13500.0
2023-01-17,P019,Kids,Nike,1627.89,1038.21,0,1627.89,42,208,4.4,1691.22,68371.38,24766.56
2023-01-17,P020,Footwear,H&M,3762.08,2069.87,5,3573.98,9,337,3.8,3375.89,32165.82,13536.99
2023-01-17,P024,Women,Nike,4775.07,3052.23,40,2865.04,16,417,4.9,3013.1,45840.64,-2995.04
2023-01-17,P028,Accessories,HRX,2748.3,1565.73,40,1648.98,33,551,4.4,1648.27,54416.34,2747.25
2023-01-18,P001,Footwear,Adidas,4420.94,3077.62,30,3094.66,27,649,3.5,2801.5,83555.82,460.08
2023-01-18,P002,Kids,H&M,2902.84,2152.2,40,1741.7,62,931,3.9,1877.83,107985.4,-25451.0
2023-01-18,P007,Kids,Levis,4853.68,2953.56,30,3397.58,22,995,4.1,3325.09,74746.76,9768.44
2023-01-18,P012,Men,Nike,4365.32,2753.23,5,4147.05,14,459,4.1,4328.71,58058.7,19513.48
2023-01-18,P024,Women,Nike,4054.34,2929.45,40,2432.6,44,280,3.6,2404.37,107034.4,-21861.4
2023-01-18,P028,Accessories,HRX,4948.81,2970.01,40,2969.29,33,482,3.5,2834.85,97986.57,-23.76
2023-01-19,P001,Footwear,Adidas,2483.53,1673.31,40,1490.12,75,239,4.7,1368.97,111759.0,-13739.25
2023-01-19,P003,Accessories,Adidas,3093.35,1713.38,40,1856.01,10,980,4.5,2004.43,18560.1,1426.3
2023-01-19,P003,Accessories,Adidas,2600.74,1892.19,0,2600.74,27,524,4.8,2627.5,70219.98,19130.85
2023-01-19,P015,Men,Roadster,4978.39,3475.45,40,2987.03,11,352,4.3,3283.21,32857.33,-5372.62
2023-01-19,P017,Women,H&M,992.68,567.18,30,694.88,238,228,3.4,666.5,165381.44,30392.6
2023-01-19,P019,Kids,Nike,3339.56,1862.61,20,2671.65,33,361,4.8,2637.91,88164.45,26698.32
2023-01-20,P015,Men,Roadster,572.62,388.62,5,543.99,63,919,4.7,497.44,34271.37,9788.31
2023-01-20,P016,Kids,Puma,2356.19,1305.27,15,2002.76,34,452,3.9,2015.13,68093.84,23714.66
2023-01-20,P020,Footwear,H&M,4397.28,2605.88,15,3737.69,5,957,4.1,3592.97,18688.45,5659.05
2023-01-20,P021,Men,Puma,4679.21,3276.84,5,4445.25,21,377,3.6,4161.5,93350.25,24536.61
2023-01-20,P025,Men,Nike,2291.51,1549.6,5,2176.93,46,529,3.6,2170.08,100138.78,28857.18
2023-01-21,P006,Accessories,Nike,3945.37,2646.96,40,2367.22,66,697,4.7,2255.91,156236.52,-18462.84
2023-01-21,P019,Kids,Nike,3859.49,2678.92,40,2315.69,48,694,3.4,2218.05,111153.12,-17435.04
2023-01-21,P021,Men,Puma,3202.08,2207.97,20,2561.66,11,604,3.6,2775.76,28178.26,3890.59
2023-01-21,P026,Women,HRX,1066.72,700.25,40,640.03,63,846,5.0,590.46,40321.89,-3793.86
2023-01-22,P001,Footwear,Adidas,1208.84,730.65,15,1027.51,132,404,3.8,941.68,135631.32,39185.52
2023-01-22,P008,Accessories,HRX,2181.24,1350.35,10,1963.12,52,262,3.8,1893.27,102082.24,31864.04
2023-01-22,P018,Footwear,Nike,3526.16,2501.23,40,2115.7,36,474,4.2,2256.53,76165.2,-13879.08
2023-01-22,P019,Kids,Nike,626.99,454.81,10,564.29,40,470,4.1,575.52,22571.6,4379.2
2023-01-22,P025,Men,Nike,807.6,582.5,20,646.08,238,320,3.3,679.86,153767.04,15132.04
2023-01-23,P003,Accessories,Adidas,4798.83,3280.27,40,2879.3,15,514,3.2,2773.69,43189.5,-6014.55
2023-01-23,P004,Women,Puma,2609.68,1698.6,10,2348.71,16,158,4.4,2569.8,37579.36,10401.76
2023-01-23,P006,Accessories,Nike,2802.56,1720.56,0,2802.56,18,692,4.2,2681.97,50446.08,19476.0
2023-01-23,P012,Men,Nike,2724.65,1613.68,40,1634.79,54,471,4.0,1512.93,88278.66,1139.94
2023-01-23,P015,Men,Roadster,2170.47,1434.56,30,1519.33,63,367,4.5,1381.61,95717.79,5340.51
2023-01-23,P015,Men,Roadster,1631.49,999.36,15,1386.77,99,210,3.9,1494.32,137290.23,38353.59
2023-01-23,P022,Accessories,Puma,3433.88,2147.32,5,3262.19,31,770,3.9,3546.0,101127.89,34560.97
2023-01-23,P028,Accessories,HRX,4648.22,2653.69,20,3718.58,27,665,4.8,4071.36,100401.66,28752.03
2023-01-23,P028,Accessories,HRX,4687.27,3452.11,20,3749.82,6,259,4.9,3804.78,22498.92,1786.26
2023-01-24,P006,Accessories,Nike,1688.66,975.3,0,1688.66,58,481,4.0,1525.65,97942.28,41374.88
2023-01-24,P008,Accessories,HRX,4417.56,2804.0,0,4417.56,5,113,3.5,4046.19,22087.8,8067.8
2023-01-24,P019,Kids,Nike,1423.45,792.92,30,996.42,40,823,4.1,902.4,39856.8,8140.0
2023-01-24,P029,Footwear,Nike,4651.32,3054.4,20,3721.06,7,324,3.5,3486.83,26047.42,4666.62
2023-01-25,P007,Kids,Levis,4228.83,2793.94,30,2960.18,7,211,3.5,2978.08,20721.26,1163.68
2023-01-25,P012,Men,Nike,4100.13,2665.63,40,2460.08,34,941,4.5,2257.37,83642.72,-6988.7
2023-01-25,P013,Women,Levis,3228.36,2379.36,10,2905.52,16,352,3.4,2634.23,46488.32,8418.56
2023-01-25,P019,Kids,Nike,2578.61,1716.86,10,2320.75,46,574,4.4,2218.99,106754.5,27778.94
2023-01-25,P027,Men,HRX,4470.76,3149.51,30,3129.53,14,109,3.2,2925.6,43813.42,-279.72
2023-01-25,P028,Accessories,HRX,4821.33,2739.61,0,4821.33,22,221,4.9,5154.97,106069.26,45797.84
2023-01-25,P029,Footwear,Nike,4207.28,2404.12,30,2945.1,32,887,4.7,2812.68,94243.2,17311.36
2023-01-25,P029,Footwear,Nike,2547.14,1758.73,10,2292.43,16,445,4.6,2327.62,36678.88,8539.2
2023-01-26,P024,Women,Nike,3786.87,2713.31,5,3597.53,14,116,4.8,3557.52,50365.42,12379.08
2023-01-27,P014,Accessories,Nike,2868.27,1827.45,10,2581.44,26,572,3.7,2768.49,67117.44,19603.74
2023-01-27,P020,Footwear,H&M,1421.05,981.38,15,1207.89,52,495,4.8,1197.02,62810.28,11778.52
2023-01-27,P023,Accessories,Roadster,2062.26,1179.49,30,1443.58,54,562,4.5,1387.68,77953.32,14260.86
2023-01-28,P002,Kids,H&M,820.57,568.13,10,738.51,192,139,3.5,725.22,141793.92,32712.96
2023-01-28,P003,Accessories,Adidas,3572.72,2300.68,5,3394.08,23,120,5.0,3555.22,78063.84,25148.2
2023-01-28,P008,Accessories,HRX,2662.76,1707.82,5,2529.62,25,833,3.2,2634.38,63240.5,20545.0
2023-01-28,P009,Footwear,Levis,1533.99,874.88,40,920.39,155,348,3.6,835.69,142660.45,7054.05
2023-01-28,P011,Footwear,Adidas,1833.51,1216.67,0,1833.51,28,870,4.4,1695.79,51338.28,17271.52
2023-01-28,P014,Accessories,Nike,4396.54,2476.2,5,4176.71,19,457,3.6,4002.92,79357.49,32309.69
2023-01-28,P015,Men,Roadster,1292.05,839.49,15,1098.24,116,624,3.9,1172.39,127395.84,30015.0
2023-01-28,P016,Kids,Puma,2251.24,1661.13,30,1575.87,51,772,4.8,1648.27,80369.37,-4348.26
2023-01-29,P014,Accessories,Nike,4205.88,2320.76,5,3995.59,28,109,3.4,4111.37,111876.52,46895.24
2023-01-29,P017,Women,H&M,652.88,467.12,5,620.24,120,839,3.4,597.79,74428.8,18374.4
2023-01-30,P020,Footwear,H&M,3241.1,2020.59,20,2592.88,10,227,4.0,2631.96,25928.8,5722.9
2023-01-30,P024,Women,Nike,3004.95,2197.62,15,2554.21,25,244,3.8,2706.56,63855.25,8914.75
2023-01-30,P026,Women,HRX,2839.76,1643.01,40,1703.86,24,565,3.9,1587.53,40892.64,1460.4
2023-01-30,P027,Men,HRX,1583.46,947.08,0,1583.46,30,142,3.4,1704.0,47503.8,19091.4
2023-01-30,P028,Accessories,HRX,2894.73,2166.01,40,1736.84,32,594,3.8,1806.48,55578.88,-13733.44
2023-01-31,P005,Kids,Puma,1616.83,1110.7,10,1455.15,99,365,4.9,1560.58,144059.85,34100.55
2023-01-31,P008,Accessories,HRX,4148.74,2350.02,5,3941.3,12,901,3.3,3804.81,47295.6,19095.36
2023-01-31,P016,Kids,Puma,626.29,455.36,10,563.66,120,206,3.4,534.54,67639.2,12996.0
2023-01-31,P018,Footwear,Nike,3342.46,2190.68,0,3342.46,19,705,4.6,3397.57,63506.74,21883.82
2023-01-31,P020,Footwear,H&M,3793.77,2632.57,30,2655.64,29,474,3.8,2504.81,77013.56,669.03
2023-01-31,P024,Women,Nike,3080.91,1923.47,40,1848.55,58,633,3.2,1913.06,107215.9,-4345.36
2023-01-31,P029,Footwear,Nike,4510.94,3324.98,30,3157.66,30,783,4.0,3247.96,94729.8,-5019.6
2023-02-01,P004,Women,Puma,1635.75,1041.88,10,1472.18,93,230,3.4,1587.14,136912.74,40017.9
2023-02-01,P013,Women,Levis,4825.75,2892.31,10,4343.18,8,739,4.5,4490.2,34745.44,11606.96
2023-02-01,P024,Women,Nike,3121.66,2005.19,40,1873.0,60,927,4.1,1899.94,112380.0,-7931.4
2023-02-02,P004,Women,Puma,3022.75,1758.74,10,2720.48,14,969,3.2,2686.39,38086.72,13464.36
2023-02-02,P006,Accessories,Nike,1672.59,920.42,5,1588.96,72,153,4.0,1556.04,114405.12,48134.88
2023-02-03,P005,Kids,Puma,2647.61,1776.35,10,2382.85,54,652,4.0,2241.66,128673.9,32751.0
2023-02-03,P009,Footwear,Levis,3219.58,2330.22,30,2253.71,54,899,4.9,2093.77,121700.34,-4131.54
2023-02-03,P016,Kids,Puma,3903.78,2871.58,15,3318.21,18,762,4.6,3388.1,59727.78,8039.34
2023-02-03,P025,Men,Nike,797.58,445.83,30,558.31,232,838,4.2,528.9,129527.92,26095.36
2023-02-04,P003,Accessories,Adidas,3600.78,2223.92,20,2880.62,32,156,3.6,3105.95,92179.84,21014.4
2023-02-04,P006,Accessories,Nike,1877.46,1308.73,10,1689.71,60,736,3.9,1747.63,101382.6,22858.8
2023-02-04,P012,Men,Nike,2349.81,1348.0,0,2349.81,38,668,4.7,2295.63,89292.78,38068.78
2023-02-04,P015,Men,Roadster,1182.55,829.52,10,1064.3,20,140,4.4,984.85,21286.0,4695.6
2023-02-04,P016,Kids,Puma,2470.26,1501.9,0,2470.26,64,419,3.7,2444.17,158096.64,61975.04
2023-02-04,P019,Kids,Nike,2887.38,1928.67,20,2309.9,18,890,4.1,2519.82,41578.2,6862.14
2023-02-04,P027,Men,HRX,938.04,676.0,5,891.14,140,433,3.4,865.12,124759.6,30119.6
2023-02-05,P007,Kids,Levis,1468.43,952.19,5,1395.01,87,106,3.5,1337.73,121365.87,38525.34
2023-02-05,P009,Footwear,Levis,4832.84,3570.34,40,2899.7,7,432,4.7,3093.6,20297.9,-4694.48
2023-02-05,P012,Men,Nike,559.4,354.98,20,447.52,242,467,4.1,463.63,108299.84,22394.68
2023-02-05,P016,Kids,Puma,3203.27,2230.88,15,2722.78,7,174,3.6,2966.07,19059.46,3443.3
2023-02-05,P019,Kids,Nike,1712.4,1142.38,5,1626.78,33,267,4.5,1761.6,53683.74,15985.2
2023-02-05,P020,Footwear,H&M,1894.47,1375.92,40,1136.68,40,259,3.9,1125.36,45467.2,-9569.6
2023-02-05,P028,Accessories,HRX,3821.13,2357.36,5,3630.07,16,944,3.7,3879.04,58081.12,20363.36
2023-02-05,P028,Accessories,HRX,2465.51,1586.01,0,2465.51,28,602,4.6,2435.58,69034.28,24626.0
2023-02-06,P007,Kids,Levis,2068.98,1295.21,5,1965.53,38,459,3.8,1906.76,74690.14,25472.16
2023-02-06,P010,Women,H&M,4851.42,3310.23,30,3395.99,13,625,3.6,3721.11,44147.87,1114.88
2023-02-06,P011,Footwear,Adidas,1190.14,852.02,15,1011.62,40,962,4.5,1107.81,40464.8,6384.0
2023-02-06,P014,Accessories,Nike,2828.01,2035.74,5,2686.61,5,698,4.7,2537.4,13433.05,3254.35
2023-02-06,P016,Kids,Puma,2864.11,1859.75,0,2864.11,13,187,4.1,2648.93,37233.43,13056.68
2023-02-06,P026,Women,HRX,563.67,312.37,30,394.57,216,617,4.7,364.7,85227.12,17755.2
2023-02-07,P001,Footwear,Adidas,2037.26,1487.44,0,2037.26,10,854,3.2,1904.66,20372.6,5498.2
2023-02-07,P011,Footwear,Adidas,4869.86,3458.7,5,4626.37,20,368,3.5,4333.95,92527.4,23353.4
2023-02-07,P013,Women,Levis,2303.62,1290.55,10,2073.26,46,163,3.5,2212.51,95369.96,36004.66
2023-02-07,P022,Accessories,Puma,3761.84,2582.87,0,3761.84,9,795,3.5,3554.73,33856.56,10610.73
2023-02-08,P006,Accessories,Nike,1970.24,1322.7,0,1970.24,24,887,3.6,1967.82,47285.76,15540.96
2023-02-08,P016,Kids,Puma,1686.03,1163.56,15,1433.13,102,922,4.3,1540.33,146179.26,27496.14
2023-02-08,P016,Kids,Puma,3278.53,2403.96,15,2786.75,33,933,3.7,2731.99,91962.75,12632.07
2023-02-08,P018,Footwear,Nike,1412.63,808.29,20,1130.1,68,315,4.0,1200.19,76846.8,21883.08
2023-02-08,P022,Accessories,Puma,4023.88,2593.18,20,3219.1,19,173,3.8,3287.94,61162.9,11892.48
2023-02-09,P008,Accessories,HRX,3860.89,2302.12,5,3667.85,33,165,3.4,3329.43,121039.05,45069.09
2023-02-09,P016,Kids,Puma,4394.78,2642.05,40,2636.87,11,336,3.6,2813.25,29005.57,-56.98
2023-02-09,P017,Women,H&M,3471.55,2042.43,5,3297.97,31,529,3.8,3033.99,102237.07,38921.74
2023-02-09,P018,Footwear,Nike,1481.21,863.32,5,1407.15,39,449,3.7,1533.12,54878.85,21209.37
2023-02-09,P018,Footwear,Nike,3832.51,2343.6,40,2299.51,40,455,3.8,2078.19,91980.4,-1763.6
2023-02-09,P022,Accessories,Puma,1954.31,1398.97,0,1954.31,42,802,4.3,1906.38,82081.02,23324.28
2023-02-09,P029,Footwear,Nike,3553.42,2533.43,30,2487.39,48,316,4.6,2646.96,119394.72,-2209.92
2023-02-09,P030,Footwear,Zara,3554.81,2497.88,0,3554.81,22,688,3.5,3397.57,78205.82,23252.46
2023-02-11,P002,Kids,H&M,2778.23,1728.6,15,2361.5,58,189,3.3,2488.66,136967.0,36708.2
2023-02-11,P005,Kids,Puma,2263.42,1584.74,10,2037.08,42,580,3.6,2109.35,85557.36,18998.28
2023-02-11,P011,Footwear,Adidas,2319.85,1713.7,15,1971.87,18,429,4.0,2165.16,35493.66,4647.06
2023-02-11,P013,Women,Levis,4815.51,3570.2,40,2889.31,18,718,3.3,3122.59,52007.58,-12256.02
2023-02-11,P016,Kids,Puma,4280.71,2534.42,30,2996.5,13,252,5.0,3230.94,38954.5,6007.04
2023-02-11,P019,Kids,Nike,1945.27,1136.7,15,1653.48,78,218,3.4,1492.89,128971.44,40308.84
2023-02-11,P021,Men,Puma,3756.17,2746.08,20,3004.94,6,540,4.1,3180.69,18029.64,1553.16
2023-02-11,P022,Accessories,Puma,3979.76,2954.79,15,3382.8,16,154,4.3,3708.57,54124.8,6848.16
2023-02-11,P028,Accessories,HRX,2318.66,1485.09,5,2202.73,66,148,4.8,2163.37,145380.18,47364.24
2023-02-12,P002,Kids,H&M,4087.86,2902.64,15,3474.68,10,995,4.2,3675.87,34746.8,5720.4
2023-02-12,P002,Kids,H&M,681.72,406.63,40,409.03,204,140,5.0,416.83,83442.12,489.6
2023-02-12,P002,Kids,H&M,4306.15,3212.16,5,4090.84,16,778,4.6,3942.57,65453.44,14058.88
2023-02-12,P005,Kids,Puma,4346.12,3072.77,15,3694.2,11,825,4.4,4045.0,40636.2,6835.73
2023-02-12,P006,Accessories,Nike,4880.48,2891.32,30,3416.34,15,207,3.6,3622.45,51245.1,7875.3
2023-02-12,P007,Kids,Levis,4960.92,3363.53,10,4464.83,20,947,3.8,4685.3,89296.6,22026.0
2023-02-12,P009,Footwear,Levis,3803.86,2689.22,40,2282.32,36,186,4.7,2107.33,82163.52,-14648.4
2023-02-12,P009,Footwear,Levis,1905.98,1392.29,40,1143.59,84,437,4.1,1101.93,96061.56,-20890.8
2023-02-12,P011,Footwear,Adidas,1402.74,857.04,10,1262.47,15,383,3.2,1347.11,18937.05,6081.45
2023-02-12,P012,Men,Nike,560.12,347.17,20,448.1,308,730,4.7,485.59,138014.8,31086.44
2023-02-12,P012,Men,Nike,1686.19,1098.53,5,1601.88,30,332,3.5,1487.24,48056.4,15100.5
2023-02-12,P014,Accessories,Nike,2460.77,1583.34,5,2337.73,30,589,5.0,2156.06,70131.9,22631.7
2023-02-12,P014,Accessories,Nike,3866.39,2877.73,5,3673.07,27,406,3.8,3451.52,99172.89,21474.18
2023-02-12,P014,Accessories,Nike,825.79,611.59,40,495.47,50,839,3.7,508.4,24773.5,-5806.0
2023-02-13,P005,Kids,Puma,2804.74,1726.04,15,2384.03,16,590,4.3,2185.79,38144.48,10527.84
2023-02-13,P013,Women,Levis,3525.06,1962.04,20,2820.05,26,980,3.8,2700.14,73321.3,22308.26
2023-02-13,P017,Women,H&M,4286.06,3211.85,0,4286.06,30,248,4.4,4708.44,128581.8,32226.3
2023-02-13,P018,Footwear,Nike,3965.56,2277.18,20,3172.45,19,614,4.7,3344.99,60276.55,17010.13
